multilang-depends/depends,"Depends is a fast, comprehensive code dependency analysis tool",False,2019-02-10T08:08:28Z,2019-12-12T02:01:33Z,2019-12-12T02:01:31Z,31299,53,53,Java,True,True,True,True,False,22,4,MIT License,22,4,53,master,11,11,14.0
mzur/pretty-formula,A small Java library to parse mathematical formulas to LaTeX and display them as images,False,2014-12-04T15:55:44Z,2019-12-11T18:09:34Z,2014-12-04T16:59:41Z,4684,25,25,Java,True,True,True,False,False,8,0,MIT License,8,0,25,master,2,1,8.0
nRo/DataFrame,DataFrame Library for Java,False,2016-03-11T21:32:37Z,2019-12-12T12:11:22Z,2019-08-21T11:23:44Z,756,24,24,Java,True,True,True,True,False,6,0,MIT License,6,0,24,master,5,1,2.0
ndsev/zserio,"zero sugar, zero fat, zero serialization overhead",False,2018-07-19T08:44:23Z,2019-12-13T13:44:24Z,2019-12-13T13:44:21Z,20004,16,16,Java,True,False,True,False,True,8,61,"BSD 3-Clause ""New"" or ""Revised"" License",8,61,16,master,13,3,11.0
nedap/archie,"OpenEHR library implementing ADL 2, AOM 2 and RM 1.0.4",False,2015-10-15T13:16:16Z,2019-07-11T12:56:06Z,2019-07-11T12:55:51Z,25656,12,12,Java,True,True,True,True,False,13,0,Apache License 2.0,13,0,12,master,11,10,8.0
neo4j-contrib/neo4j-apoc-procedures,"Awesome Procedures On Cypher for Neo4j 3.x - codenamed ""apoc""                     If you like it, please ★ above ⇧            ",False,2016-02-25T08:33:37Z,2019-12-13T13:13:33Z,2019-12-13T11:59:09Z,24151,1032,1032,Java,True,True,True,False,True,259,294,Apache License 2.0,259,294,1032,3.5,72,1,1.0
nielsbasjes/logparser,"Easy parsing of Apache HTTPD and NGINX access logs with Java, Hadoop, Hive, Pig, Flink, Beam, Storm, ...",False,2013-09-06T19:48:43Z,2019-11-28T15:39:03Z,2019-11-28T15:39:01Z,2086,81,81,Java,True,True,True,True,True,27,1,Apache License 2.0,27,1,81,master,6,1,1.0
nielsbasjes/yauaa,Yet Another UserAgent Analyzer,False,2016-07-04T14:51:04Z,2019-12-13T11:42:36Z,2019-12-13T11:42:33Z,10930,339,339,Java,True,True,True,False,True,68,3,Apache License 2.0,68,3,339,master,32,2,45.0
notaql/notaql,A cross-system data transformation language. ,False,2015-05-18T11:45:00Z,2019-03-19T12:36:57Z,2015-07-20T15:16:00Z,461,11,11,Java,True,True,True,True,False,3,13,Apache License 2.0,3,13,11,master,3,10,28.0
novoda/sqlite-analyzer,Code generation for Java/Android database access.,False,2014-01-17T16:27:22Z,2019-11-21T09:10:06Z,2018-02-07T15:12:30Z,4799,64,64,Java,True,True,True,True,True,7,7,Other,7,7,64,master,58,1,1.0
npgall/cqengine,Ultra-fast SQL-like queries on Java collections,False,2015-08-23T19:27:00Z,2019-12-13T02:47:34Z,2019-11-26T23:31:05Z,10790,1098,1098,Java,True,True,False,False,False,173,43,Apache License 2.0,173,43,1098,master,77,4,6.0
nradov/abnffuzzer,Java fuzz testing library for implementations of ABNF rules such as IETF RFCs,False,2016-02-22T02:58:30Z,2019-12-07T06:08:57Z,2019-12-07T06:08:55Z,1149,26,26,Java,True,True,True,True,True,3,1,GNU Lesser General Public License v2.1,3,1,26,master,4,1,3.0
nsacyber/GRASSMARLIN,Provides situational awareness of Industrial Control Systems (ICS) and Supervisory Control and Data Acquisition (SCADA) networks in support of network security assessments. #nsacyber,False,2015-12-14T16:15:24Z,2019-12-12T08:40:48Z,2018-03-09T18:32:10Z,34984,504,504,Java,True,True,True,True,False,189,22,Other,189,22,504,master,85,1,1.0
oasis-open/cti-stix2-json-schemas,OASIS TC Open Repository: Non-normative schemas and examples for STIX 2,False,2016-09-01T18:32:10Z,2019-12-09T14:28:38Z,2019-12-09T14:36:53Z,411,46,46,ANTLR,True,True,True,True,False,35,4,"BSD 3-Clause ""New"" or ""Revised"" License",35,4,46,master,17,1,0.0
octopus-platform/joern,"A robust parser for C/C++ storing abstract syntax trees, control flow graphs and program dependence graphs in a neo4j graph database.",False,2013-05-02T22:44:29Z,2019-12-10T04:18:34Z,2019-05-10T12:42:53Z,23415,459,459,Java,True,True,True,False,False,119,44,GNU Lesser General Public License v3.0,119,44,459,dev,52,8,41.0
odiszapc/nginx-java-parser,Nginx configuration parser based on ANTLR4 grammar,False,2014-09-06T09:53:32Z,2019-12-12T06:42:25Z,2019-09-23T09:13:36Z,113,132,132,Java,True,True,True,True,False,50,14,,50,14,132,master,11,1,8.0
ojai/ojai,Core OJAI APIs,False,2015-09-24T21:31:34Z,2019-09-13T23:01:00Z,2019-11-13T05:36:27Z,771,44,44,Java,True,True,True,True,False,15,13,Apache License 2.0,15,13,44,master,10,1,1.0
ontop/ontop,Ontop is a platform to query relational databases as Virtual RDF Knowledge Graphs using SPARQL. It's fast and is packed with features.,False,2013-07-22T11:00:27Z,2019-12-13T20:03:47Z,2019-12-13T17:06:06Z,202816,315,315,Java,True,True,True,True,False,107,66,Apache License 2.0,107,66,315,version4,49,2,9.0
opencast/opencast,The free and open source solution for automated video capture and distribution at scale.,False,2017-12-23T13:54:35Z,2019-12-12T19:31:46Z,2019-12-13T15:23:33Z,157158,110,110,Java,True,True,True,False,False,105,75,Educational Community License v2.0,105,75,110,develop,28,1,2.0
opencypher/openCypher,Specification of the Cypher property graph query language,False,2015-02-06T09:35:42Z,2019-12-13T08:21:38Z,2019-12-12T19:17:47Z,7012,417,417,Java,True,True,True,True,False,85,86,Apache License 2.0,85,86,417,master,66,2,8.0
opendaylight/yangtools,Mirror of the OpenDaylight yangtools gerrit project,False,2014-01-29T23:14:37Z,2019-12-13T13:26:09Z,2019-12-13T13:26:06Z,30394,71,71,Java,False,False,True,False,False,87,0,Eclipse Public License 1.0,87,0,71,master,28,11,19.0
opendistro-for-elasticsearch/sql,Open Distro for Elasticsearch SQL Plugin,False,2018-12-19T20:20:57Z,2019-12-13T08:20:10Z,2019-12-13T23:13:52Z,3574,194,194,Java,True,True,True,False,False,47,84,Apache License 2.0,47,84,194,master,22,2,5.0
openstack/monasca-common,Monasca common classes,False,2014-07-15T13:54:25Z,2019-12-10T20:19:07Z,2019-12-12T09:58:16Z,1457,50,50,Java,False,False,False,False,False,21,0,Apache License 2.0,21,0,50,master,7,1,3.0
openvalidation/openvalidation,"Compose validation rules in the language you use every day, openVALIDATION handles code creation for you.",False,2019-05-17T14:23:38Z,2019-12-09T13:58:55Z,2019-12-13T12:41:07Z,3551,18,18,Java,True,False,True,False,False,7,34,Other,7,34,18,master,5,1,16.0
oracle/graal,GraalVM: Run Programs Faster Anywhere :rocket:,False,2016-01-14T17:11:35Z,2019-12-14T14:29:09Z,2019-12-14T13:18:51Z,1069272,11329,11329,Java,True,True,True,False,True,744,630,Other,744,630,11329,master,421,3,8.0
osiam/osiam,MIT licensed Open Source Identity and Access Management implementing OAuth 2.0 and SCIMv2.,False,2015-04-28T09:14:40Z,2019-12-09T19:20:57Z,2019-09-19T13:11:43Z,3645,185,185,Java,True,True,True,False,False,47,44,MIT License,47,44,185,master,35,1,9.0
osiam/server,[DEPRECATED] OSIAM server,False,2013-07-09T07:41:42Z,2019-10-16T20:07:07Z,2019-11-13T06:45:37Z,4362,32,32,Java,True,True,True,True,False,19,1,,19,1,32,master,18,1,10.0
parrt/bookish,A tool that translates augmented markdown into HTML or latex,False,2018-01-23T20:09:41Z,2019-12-08T20:07:19Z,2019-04-08T18:45:33Z,1592,352,352,Java,True,True,True,True,False,16,1,MIT License,16,1,352,master,13,5,31.0
parrt/cs652,University of San Francisco CS652 -- Programming Languages,False,2014-12-31T22:00:42Z,2019-12-01T10:49:40Z,2019-04-09T16:05:06Z,21468,74,74,Java,True,True,True,True,False,42,0,"BSD 3-Clause ""New"" or ""Revised"" License",42,0,74,master,18,19,19.0
parrt/mini-markdown,Parser for small subset of markdown,False,2014-03-28T00:25:04Z,2018-08-29T14:42:30Z,2016-02-26T20:32:04Z,22,15,15,Java,True,True,True,True,False,4,2,"BSD 3-Clause ""New"" or ""Revised"" License",4,2,15,master,3,1,3.0
patniemeyer/j2swift,Basic Java to Swift syntax converter,False,2015-04-09T00:56:43Z,2019-08-31T03:14:32Z,2017-11-16T04:46:37Z,127,65,65,Java,True,True,True,True,False,25,12,MIT License,25,12,65,master,8,1,5.0
pcingola/BigDataScript,BigDataScript: Scirpting language for big data,False,2013-03-03T18:00:45Z,2019-12-12T13:52:18Z,2019-10-07T09:38:39Z,826908,83,83,Java,True,True,True,True,True,24,8,Apache License 2.0,24,8,83,master,10,2,149.0
pgcodekeeper/pgcodekeeper,pgCodeKeeper is a PostgreSQL schema management tool,False,2017-12-11T14:35:14Z,2019-12-14T15:56:57Z,2019-12-12T08:42:06Z,55064,32,32,Java,True,True,True,True,False,3,11,Apache License 2.0,3,11,32,master,7,6,51.0
phil3k3/flink-cep-dsl,"A simple pattern language for Apache Flink, inspired by Esper",False,2018-05-24T18:53:22Z,2019-09-26T22:14:19Z,2018-09-27T12:21:06Z,156,17,17,Java,True,True,True,True,False,7,1,Apache License 2.0,7,1,17,master,4,1,3.0
plast-lab/doop-mirror,Mirror of Doop: https://bitbucket.org/yanniss/doop,False,2016-10-30T11:29:34Z,2019-10-04T11:15:52Z,2019-04-05T12:31:14Z,75589,18,18,Java,True,True,True,True,False,3,0,Other,3,0,18,master,9,1,0.0
pmd/pmd,An extensible multilanguage static code analyzer.,False,2012-07-11T18:03:00Z,2019-12-14T15:11:22Z,2019-12-14T17:04:17Z,289216,2619,2619,Java,True,True,True,True,True,905,320,Other,905,320,2619,master,124,5,8.0
