repository,description,fork,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,license,forks,open_issues,watchers,default_branch,subscribers_count,g4,rt
gburdell/parser,Derived from https://sourceforge.net/projects/v2kparse,False,2011-12-14T17:28:43Z,2019-11-28T07:15:39Z,2015-09-10T23:23:23Z,6861,43,43,Java,True,True,True,True,False,12,0,,12,0,43,master,15,1,1.0
georocket/georocket,🚀 GeoRocket - A high-performance data store for geospatial files.,False,2016-05-06T11:34:34Z,2019-12-03T15:52:08Z,2019-12-03T15:52:06Z,1968,39,39,Java,True,True,True,False,False,18,1,Apache License 2.0,18,1,39,master,7,1,2.0
geosolutions-it/jai-ext,Java Advanced Imaging Open Source Replacement Wannabe,False,2012-09-25T08:47:49Z,2019-10-08T07:24:03Z,2019-10-07T08:22:49Z,24022,55,55,Java,True,False,True,True,True,30,41,Apache License 2.0,30,41,55,master,13,1,22.0
goldmansachs/jdmn,A Java implementation of DMN,False,2018-01-22T15:49:55Z,2019-12-09T00:59:04Z,2019-11-16T18:26:52Z,4210,57,57,Java,True,True,True,True,True,20,0,Apache License 2.0,20,0,57,master,18,8,6.0
google/graphicsfuzz,A testing framework for automatically finding and simplifying bugs in graphics shader compilers.,False,2018-09-24T16:31:05Z,2019-12-13T16:19:43Z,2019-12-13T16:22:09Z,8705,353,353,Java,True,True,True,True,False,53,107,Apache License 2.0,53,107,353,master,19,1,3.0
graalvm/simplelanguage,A simple example language built using the Truffle API.,False,2015-04-30T22:58:08Z,2019-12-12T12:17:23Z,2019-11-26T14:56:20Z,1304,289,289,Java,True,True,True,False,False,103,18,Universal Permissive License v1.0,103,18,289,master,34,1,3.0
graalvm/sulong,Obsolete repository. Moved to oracle/graal.,False,2016-01-18T10:12:52Z,2019-11-06T04:02:06Z,2018-12-05T11:05:28Z,11474,618,618,Java,True,True,True,True,False,61,10,Other,61,10,618,master,54,1,2.0
graknlabs/graql,Graql: Grakn Query Language,False,2019-02-16T23:01:20Z,2019-12-09T14:36:56Z,2019-12-09T14:36:53Z,379,39,39,Java,True,False,True,True,False,15,39,GNU Affero General Public License v3.0,15,39,39,master,9,1,2.0
graphql-java/graphql-java,GraphQL Java implementation,False,2015-07-06T06:52:20Z,2019-12-14T08:34:12Z,2019-12-13T23:50:32Z,5929,3885,3885,Java,True,True,True,True,False,700,96,MIT License,700,96,3885,master,220,4,4.0
graphql-java/nadel,A GraphQL DSL and execution engine for distributed schemas,False,2018-02-13T06:24:16Z,2019-12-13T03:51:12Z,2019-12-13T03:51:09Z,1058,48,48,Java,True,True,True,True,False,6,5,MIT License,6,5,48,master,15,1,2.0
gretard/sonar-tsql-plugin,T-SQL language plugin for SonarQube,False,2016-07-11T16:54:31Z,2019-10-11T15:38:37Z,2019-10-11T15:38:35Z,2049,42,42,Java,True,True,True,True,False,8,0,GNU General Public License v3.0,8,0,42,master,6,1,30.0
groovy/groovy-eclipse,Groovy-Eclipse,False,2012-05-03T11:11:18Z,2019-12-13T23:59:39Z,2019-12-13T23:59:36Z,947026,528,528,Java,True,True,True,True,False,170,62,,170,62,528,master,53,2,4.0
grosenberg/fluentmark,FluentMark -- Eclipse editor for Markdown content,False,2016-12-18T01:12:43Z,2019-10-05T15:40:23Z,2019-07-18T12:47:04Z,1797,19,19,Java,True,True,True,True,False,9,15,Eclipse Public License 1.0,9,15,19,master,4,2,21.0
groupon/monsoon,An extensible monitor system that checks java processes and exposes metrics based on them.,False,2016-06-22T19:08:44Z,2019-11-21T01:34:57Z,2017-12-19T02:34:58Z,4853,27,27,Java,True,True,True,True,False,5,2,"BSD 3-Clause ""New"" or ""Revised"" License",5,2,27,master,5,13,6.0
guidosalva/reactive-inspector,Eclipse plugin for debugging reactive programming,False,2014-10-29T21:33:33Z,2019-06-16T20:17:25Z,2018-10-30T16:12:02Z,69833,20,20,Java,True,True,True,True,True,3,0,,3,0,20,master,8,1,8.0
gvlasov/inflectible,Template engine for natural languages that allows using grammatically appropriate word forms,False,2013-12-17T00:44:42Z,2019-10-11T19:56:53Z,2018-08-03T04:03:04Z,656,81,81,Java,True,True,True,True,False,2,21,MIT License,2,21,81,master,8,6,11.0
haku/dlnatoad,Minimal DLNA media content server,False,2013-01-26T18:29:57Z,2019-11-03T13:16:29Z,2019-07-09T17:50:57Z,257,20,20,Java,True,True,True,True,False,9,6,,9,6,20,master,7,1,1.0
harbby/sylph,Stream computing platform for bigdata,False,2018-06-19T05:26:24Z,2019-12-04T09:07:22Z,2019-12-11T07:56:22Z,5883,264,264,Java,True,True,True,True,False,125,24,Apache License 2.0,125,24,264,master,32,1,4.0
hawkular/hawkular-alerts,Alerting subsystem for Hawkular,False,2015-01-21T19:59:08Z,2019-08-13T16:00:53Z,2019-11-04T10:35:56Z,6833,71,71,Java,True,True,True,False,False,37,10,Apache License 2.0,37,10,71,master,16,1,7.0
hawkular/hawkular-metrics,Time Series Metrics Engine based on Cassandra,False,2014-03-13T10:07:30Z,2019-12-13T09:52:33Z,2019-08-07T23:54:25Z,22153,219,219,Java,False,True,True,False,False,77,12,Apache License 2.0,77,12,219,master,38,1,7.0
herrmanntom/setlX,setlX is an interpreter for the high level programming-language SetlX (set language extended).,False,2014-12-20T18:36:35Z,2019-11-04T14:17:59Z,2019-06-16T11:32:34Z,26434,19,19,Java,True,True,True,False,False,12,0,Other,12,0,19,master,7,2,3.0
hibernate/hibernate-hql-parser,New experimental parser for JP-QL queries,False,2012-05-02T15:18:20Z,2019-12-12T03:01:04Z,2018-10-23T11:57:30Z,754,24,24,Java,False,True,True,False,False,24,0,Other,24,0,24,master,28,2,2.0
iamazy/elasticsearch-sql,parse sql into elasticsearch dsl with antlr4,False,2019-07-23T05:05:58Z,2019-12-14T09:03:15Z,2019-12-14T09:03:13Z,3259,28,28,Java,True,True,True,True,False,10,0,MIT License,10,0,28,master,2,4,12.0
icode/ameba,useful full stack RESTful framework,False,2014-01-25T13:16:56Z,2019-06-05T05:03:57Z,2018-07-14T10:27:30Z,2041,38,38,Java,True,True,True,True,False,17,47,MIT License,17,47,38,master,9,1,2.0
infraling/atomic,Software for multi-level annotation of linguistic corpora,False,2013-10-14T14:37:58Z,2018-12-10T08:49:48Z,2019-01-18T09:42:38Z,10238,17,17,Java,True,True,True,True,True,7,41,Apache License 2.0,7,41,17,development,9,1,5.0
intuit/karate,Test Automation Made Simple,False,2017-02-07T15:59:17Z,2019-12-13T19:17:06Z,2019-12-12T10:17:34Z,16775,2609,2609,Java,True,True,True,True,True,673,37,MIT License,673,37,2609,master,164,2,2.0
ivanyu/logical-rules-parser-antlr,A simple example of a parser built with ANTLR,False,2014-09-13T18:04:36Z,2019-09-18T17:26:17Z,2014-09-13T21:13:17Z,144,28,28,Java,True,False,True,False,False,16,0,MIT License,16,0,28,master,3,1,4.0
jAngBridge/ts-parser,TypeScript parser generated with ANTLR4,False,2018-05-27T17:13:07Z,2019-09-25T08:12:06Z,2018-05-27T18:02:45Z,35,14,14,Java,True,True,True,True,False,7,0,MIT License,7,0,14,master,3,3,7.0
jaeksoft/opensearchserver,Open-source Enterprise Grade Search Engine Software,False,2013-07-18T16:03:33Z,2019-12-14T00:30:28Z,2019-11-13T06:11:03Z,515572,354,354,Java,True,True,True,False,False,157,219,GNU General Public License v3.0,157,219,354,master,68,1,4.0
janyou/ANTLR-Swift-Target,ANTLR Swift Target,False,2015-12-28T12:50:57Z,2019-12-05T14:32:08Z,2017-04-29T18:24:46Z,3259,21,21,Java,True,True,True,True,False,2,2,"BSD 2-Clause ""Simplified"" License",2,2,21,master,3,1,16.0
java-decompiler/jd-gui,A standalone Java Decompiler GUI,False,2015-03-25T05:28:41Z,2019-12-14T15:45:55Z,2019-12-06T16:28:33Z,56985,7693,7693,Java,True,True,True,True,False,1546,84,GNU General Public License v3.0,1546,84,7693,master,468,1,5.0
javamonkey/beetl2.0,beetl2.0,False,2013-09-04T01:19:06Z,2019-12-10T02:48:41Z,2019-05-06T13:24:22Z,19811,388,388,Java,True,True,True,True,False,111,43,"BSD 3-Clause ""New"" or ""Revised"" License",111,43,388,master,51,2,6.0
jbclements/rust-antlr,An ANTLR grammar for Rust,False,2013-03-23T00:09:02Z,2019-09-18T13:22:40Z,2016-03-09T16:56:15Z,78,39,39,ANTLR,True,True,True,True,False,6,1,Apache License 2.0,6,1,39,master,2,4,0.0
jbotsim/JBotSim,JBotSim Core Files,False,2017-03-12T11:57:53Z,2019-11-23T16:56:00Z,2019-11-29T14:26:38Z,2838,13,13,Java,True,True,True,True,False,15,20,GNU Lesser General Public License v3.0,15,20,13,master,6,1,1.0
jcoplien/trygve,The trygve language project - Building a DCI-centric language from the ground up,False,2015-09-04T21:04:12Z,2019-11-05T03:12:33Z,2019-03-11T11:37:21Z,15909,74,74,Java,True,True,True,True,False,14,5,GNU General Public License v2.0,14,5,74,master,20,1,26.0
jdbi/jdbi,"jdbi is designed to provide convenient tabular data access in Java; including templated SQL, parameterized and strongly typed queries, and Streams integration",False,2009-06-17T16:36:36Z,2019-12-10T14:49:04Z,2019-12-05T17:04:06Z,21904,1341,1341,Java,True,True,True,False,False,261,63,Other,261,63,1341,master,76,4,7.0
jenkinsci/credentials-plugin,,False,2012-02-23T18:57:07Z,2019-12-13T16:38:48Z,2019-12-13T16:38:45Z,9671,46,46,Java,False,True,True,False,False,157,5,MIT License,157,5,46,master,127,1,1.0
jknack/handlebars.java,Logic-less and semantic Mustache templates with Java,False,2012-05-27T03:22:22Z,2019-12-10T20:12:11Z,2019-11-11T09:19:59Z,3494,1099,1099,Java,True,True,True,True,True,312,63,Other,312,63,1099,master,63,2,7.0
jkschneider/graphql-gremlin,,False,2016-04-07T19:42:21Z,2019-10-31T17:27:40Z,2016-08-27T16:52:13Z,114,27,27,Java,True,True,True,True,False,5,1,,5,1,27,master,4,1,8.0
